orderItemID;prediction
0;0
1;1
2;1
3;1
4;0
5;0
6;0
7;0
8;0
9;0
10;1
11;1
12;0
13;0
14;0
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;0
24;1
25;0
26;1
27;1
28;1
29;1
30;0
31;1
32;0
33;1
34;0
35;0
36;0
37;0
38;1
39;1
40;0
41;1
42;0
43;1
44;1
45;1
46;1
47;0
48;1
49;1
50;0
51;1
52;1
53;0
54;0
55;0
56;0
57;0
58;1
59;1
60;0
61;1
62;1
63;1
64;1
65;1
66;0
67;1
68;0
69;1
70;0
71;1
72;0
73;1
74;1
75;0
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;0
88;1
89;1
90;1
91;1
92;1
93;0
94;1
95;1
96;0
97;1
98;1
99;1
100;0
101;1
102;1
103;1
104;1
105;1
106;0
107;1
108;1
109;0
110;1
111;1
112;0
113;0
114;0
115;1
116;1
117;1
118;1
119;0
120;1
121;1
122;1
123;1
124;1
125;1
126;0
127;0
128;0
129;0
130;1
131;1
132;0
133;1
134;0
135;0
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;0
149;0
150;0
151;1
152;1
153;0
154;0
155;1
156;1
157;1
158;0
159;1
160;1
161;1
162;0
163;1
164;1
165;1
166;1
167;0
168;0
169;1
170;0
171;0
172;1
173;0
174;0
175;1
176;0
177;1
178;1
179;1
180;1
181;0
182;1
183;1
184;1
185;1
186;1
187;1
188;1
189;1
190;1
191;0
192;0
193;1
194;1
195;1
196;1
197;0
198;1
199;1
200;1
201;1
202;1
203;1
204;0
205;1
206;0
207;1
208;1
209;1
210;0
211;1
212;1
213;1
214;0
215;1
216;1
217;1
218;1
219;0
220;1
221;0
222;1
223;1
224;1
225;0
226;1
227;1
228;1
229;1
230;1
231;1
232;1
233;0
234;0
235;0
236;0
237;0
238;1
239;1
240;0
241;1
242;1
243;1
244;1
245;1
246;1
247;1
248;0
249;0
250;1
251;1
252;0
253;0
254;0
255;1
256;0
257;1
258;0
259;1
260;1
261;1
262;1
263;0
264;1
265;1
266;1
267;1
268;1
269;0
270;0
271;1
272;0
273;1
274;1
275;1
276;0
277;1
278;0
279;1
280;0
281;1
282;1
283;0
284;0
285;1
286;1
287;1
288;0
289;1
290;1
291;1
292;1
293;1
294;1
295;1
296;1
297;1
298;1
299;0
300;0
301;0
302;1
303;1
304;0
305;0
306;1
307;1
308;1
309;1
310;1
311;0
312;0
313;1
314;1
315;0
316;1
317;0
318;1
319;1
320;1
321;1
322;1
323;0
324;0
325;1
326;1
327;1
328;1
329;1
330;0
331;1
332;1
333;1
334;1
335;1
336;0
337;1
338;1
339;1
340;1
341;1
342;1
343;1
344;1
345;0
346;1
347;1
348;1
349;0
350;1
351;1
352;1
353;0
354;1
355;0
356;0
357;0
358;0
359;1
360;1
361;0
362;0
363;0
364;0
365;1
366;1
367;0
368;0
369;0
370;0
371;0
372;0
373;1
374;1
375;0
376;1
377;1
378;0
379;0
380;0
381;0
382;1
383;1
384;0
385;0
386;1
387;0
388;0
389;0
390;1
391;1
392;1
393;1
394;1
395;1
396;1
397;1
398;1
399;1
400;1
401;1
402;1
403;1
404;1
405;1
406;1
407;0
408;1
409;0
410;1
411;1
412;0
413;0
414;0
415;0
416;1
417;1
418;1
419;1
420;1
421;0
422;1
423;1
424;1
425;0
426;0
427;0
428;0
429;0
430;1
431;1
432;1
433;0
434;0
435;1
436;0
437;1
438;1
439;0
440;1
441;1
442;0
443;0
444;1
445;0
446;0
447;0
448;0
449;1
450;0
451;0
452;1
453;1
454;1
455;1
456;1
457;1
458;1
459;1
460;0
461;1
462;1
463;1
464;0
465;1
466;0
467;1
468;1
469;1
470;1
471;1
472;1
473;1
474;1
475;0
476;1
477;0
478;1
479;1
480;1
481;1
482;1
483;1
484;0
485;0
486;0
487;0
488;1
489;1
490;1
491;1
492;1
493;1
494;1
495;1
496;0
497;1
498;0
499;0
500;0
501;0
502;1
503;0
504;0
505;1
506;1
507;0
508;1
509;1
510;1
511;1
512;1
513;1
514;0
515;0
516;1
517;1
518;1
519;1
520;1
521;1
522;0
523;0
524;0
525;0
526;0
527;0
528;0
529;1
530;1
531;1
532;0
533;0
534;1
535;1
536;1
537;1
538;1
539;1
540;0
541;0
542;1
543;1
544;1
545;0
546;1
547;0
548;0
549;1
550;1
551;0
552;0
553;0
554;0
555;1
556;1
557;0
558;0
559;0
560;1
561;1
562;0
563;0
564;0
565;1
566;0
567;0
568;0
569;1
570;0
571;1
572;1
573;1
574;1
575;1
576;1
577;1
578;1
579;0
580;0
581;1
582;1
583;1
584;1
585;1
586;1
587;1
588;0
589;1
590;1
591;1
592;1
593;0
594;1
595;1
596;0
597;0
598;1
599;1
600;1
601;1
602;1
603;1
604;1
605;1
606;1
607;1
608;1
609;0
610;0
611;0
612;1
613;1
614;1
615;1
616;1
617;1
618;1
619;0
620;1
621;0
622;0
623;1
624;0
625;1
626;0
627;0
628;0
629;0
630;1
631;1
632;1
633;1
634;1
635;0
636;0
637;0
638;0
639;1
640;1
641;1
642;1
643;0
644;0
645;1
646;1
647;0
648;0
649;0
650;0
651;0
652;1
653;1
654;0
655;1
656;0
657;0
658;1
659;0
660;1
661;1
662;0
663;0
664;0
665;0
666;0
667;1
668;1
669;1
670;0
671;1
672;1
673;1
674;1
675;1
676;1
677;1
678;1
679;0
680;0
681;1
682;0
683;0
684;1
685;1
686;1
687;1
688;1
689;1
690;1
691;0
692;1
693;0
694;1
695;1
696;1
697;1
698;1
699;1
700;1
701;0
702;1
703;1
704;0
705;0
706;0
707;0
708;1
709;1
710;1
711;0
712;1
713;1
714;1
715;1
716;1
717;1
718;1
719;1
720;0
721;1
722;1
723;1
724;0
725;1
726;0
727;0
728;1
729;0
730;0
731;1
732;0
733;0
734;0
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;1
745;1
746;1
747;1
748;1
749;1
750;1
751;1
752;1
753;1
754;0
755;0
756;1
757;0
758;1
759;0
760;1
761;1
762;0
763;1
764;1
765;1
766;1
767;1
768;1
769;1
770;0
771;1
772;0
773;1
774;1
775;0
776;1
777;1
778;1
779;0
780;0
781;0
782;0
783;0
784;0
785;1
786;1
787;1
788;1
789;1
790;1
791;1
792;0
793;1
794;1
795;1
796;1
797;1
798;1
799;0
800;1
801;0
802;1
803;1
804;1
805;0
806;0
807;0
808;0
809;1
810;0
811;1
812;1
813;1
814;1
815;0
816;1
817;0
818;0
819;0
820;1
821;1
822;1
823;1
824;1
825;1
826;1
827;1
828;1
829;0
830;0
831;0
832;0
833;0
834;1
835;1
836;1
837;1
838;1
839;1
840;1
841;1
842;0
843;0
844;1
845;1
846;0
847;0
848;1
849;1
850;0
851;0
852;0
853;0
854;0
855;1
856;1
857;0
858;0
859;1
860;1
861;1
862;1
863;0
864;0
865;1
866;0
867;1
868;1
869;1
870;0
871;0
872;0
873;0
874;0
875;1
876;0
877;1
878;0
879;0
880;1
881;1
882;0
883;1
884;1
885;1
886;0
887;0
888;1
889;0
890;0
891;0
892;1
893;0
894;1
895;0
896;0
897;0
898;0
899;0
900;0
901;1
902;0
903;0
904;0
905;1
906;1
907;1
908;0
909;1
910;1
911;1
912;0
913;0
914;0
915;1
916;1
917;0
918;0
919;1
920;1
921;0
922;0
923;1
924;1
925;1
926;0
927;0
928;0
929;1
930;1
931;1
932;0
933;0
934;1
935;1
936;1
937;1
938;0
939;0
940;0
941;1
942;1
943;1
944;1
945;0
946;0
947;0
948;1
949;1
950;0
951;0
952;1
953;0
954;0
955;1
956;0
957;0
958;1
959;0
960;0
961;1
962;1
963;0
964;1
965;0
966;1
967;1
968;1
969;1
970;1
971;1
972;0
973;1
974;1
975;1
976;1
977;1
978;1
979;1
980;1
981;0
982;1
983;1
984;1
985;1
986;1
987;1
988;1
989;1
990;1
991;1
992;0
993;1
994;0
995;1
996;1
997;1
998;0
999;1
1000;0
1001;1
1002;1
1003;1
1004;0
1005;0
1006;1
1007;1
1008;1
1009;1
1010;0
1011;1
1012;0
1013;0
1014;0
1015;0
1016;0
1017;0
1018;0
1019;0
1020;1
1021;0
1022;1
1023;1
1024;1
1025;1
1026;1
1027;1
1028;1
1029;1
1030;1
1031;1
1032;1
1033;1
1034;1
1035;1
1036;1
1037;1
1038;1
1039;1
1040;1
1041;0
1042;1
1043;1
1044;0
1045;0
1046;1
1047;1
1048;1
1049;1
1050;1
1051;1
1052;1
1053;0
1054;0
1055;0
1056;0
1057;1
1058;1
1059;0
